E_left,E_right,sel_left,sel_right,optset_left,optset_right,Qg_left,Qs_left,Ql_left,Qg_right,Qs_right,Ql_right,g_rel_left,g_rel_right,kind
20,21,草,大物,草,大,4.000000000,1.000000000,1.000000000,4.000000000,2.000000000,33.085534009,7.500000e-01,8.791012e-01,strict
26,27,大物,草,大,草,5.000000000,2.000000000,33.087094507,34.056568832,2.000000000,33.087823927,8.488837e-01,2.844517e-02,strict
40,41,草,大物,草,大,35.998271967,2.000000000,33.092036617,35.998979385,3.000000000,82.921646676,8.073263e-02,5.658675e-01,strict
46,47,大物,草,大,草,36.969302399,3.000000000,82.927685794,83.848587025,3.000000000,82.929373579,5.541983e-01,1.096278e-02,strict
60,61,草,大物,草,大,85.702674097,3.000000000,82.945030842,85.704301797,4.000000000,134.124848972,3.217686e-02,3.610110e-01,strict
71,72,大物,草,大,草,135.014954828,4.000000000,141.652681766,142.514550411,4.000000000,141.654411675,4.685917e-02,6.035445e-03,strict
80,81,草,小物,草,小,143.395058376,4.000000000,141.674780458,143.398628690,322.846805755,189.083136706,1.199677e-02,4.143255e-01,strict
86,87,小物,草,小,草,144.271188502,322.962521906,198.303856692,323.649781272,323.002217723,198.309527585,3.859849e-01,2.000816e-03,strict
100,101,草,小物,草,小,325.266571524,323.319004213,203.501395115,325.304309015,483.146020129,245.881568595,5.987604e-03,3.266957e-01,strict
106,107,小物,草,小,草,326.068157369,483.318005412,254.882948119,483.848303375,483.526567941,254.889937879,3.253548e-01,6.649510e-04,strict
120,121,草,小物,草,小,485.269633021,484.297892531,262.186996681,485.325554188,568.801075310,300.456673023,2.002475e-03,1.467570e-01,strict
126,127,小物,草,小,草,485.969970968,569.000106798,309.548164728,569.447314410,569.288167255,309.557254851,1.459229e-01,2.794765e-04,strict
140,141,草,小物,草,小,570.758042262,570.273889897,317.754917104,570.823035147,619.758425218,351.964043978,8.482620e-04,7.895881e-02,strict
146,147,小物,草,小,草,571.401645252,619.969881831,360.665291119,620.368104296,620.289961428,360.674988852,7.833967e-02,1.259621e-04,strict
160,161,草,小物,草,小,621.606574931,621.365927218,369.418461944,621.675992355,653.538761544,399.885881843,3.871383e-04,4.875421e-02,strict
171,172,小物,草,小,草,654.311158356,655.264943613,412.514701359,655.458652429,655.418027432,412.524228672,1.455572e-03,6.197950e-05,strict
180,181,草,小物,草,小,656.258832031,656.177582034,416.888930682,656.330141885,699.301965219,443.938898568,1.238079e-04,6.144960e-02,strict
191,192,小物,草,小,草,700.062017923,700.539487084,455.917522750,700.650659025,700.630346531,455.928639972,6.815735e-04,2.899090e-05,strict
200,201,草,小物,草,小,701.467416112,701.426791118,460.149630297,701.544484209,746.745995058,484.176260226,5.791430e-05,6.053131e-02,strict
